Tag,Probability,Binary Prediction
,0.31468310952186584,1
(kansallinen) identiteetti,0.2256726771593094,1
(koulu)hyvinvointi,0.19876988232135773,1
- archives,0.2076663225889206,1
1 tyypin diabetes,0.3994986116886139,1
1. luokka,0.22508668899536133,1
1.-luokkalaiset,0.3643982410430908,1
12.30,0.11433129757642746,0
1600-luku,0.39274531602859497,1
16S rDNA,0.20456427335739136,1
1700-luku,0.49921515583992004,1
1800-luku,0.6076986789703369,1
1800-luvun maaseutuyhteisö,0.2242218554019928,1
1850-luku,0.13080668449401855,0
1860-luku,0.2194254845380783,1
1888-1921,0.12407327443361282,0
1890-luku,0.2803006172180176,1
1895–1905,0.2888641059398651,1
18S rDNA,0.14701545238494873,1
1900-luku,0.4761578440666199,1
1910-luku,0.366923063993454,1
1920-luku,0.49363428354263306,1
1930-luku,0.4522456228733063,1
1940-luku,0.6279223561286926,1
1950-luku,0.460005521774292,1
1960-luku,0.6262946724891663,1
1970-luku,0.6435099244117737,1
1970-luvun taide,0.2683302164077759,1
1980-luku,0.5631341338157654,1
1990-luku,0.5232563614845276,1
1999-2003,0.127099871635437,0
2 x 2 achievement motivation,0.18707744777202606,1
2 x 2 tavoiteorientaatio,0.25061437487602234,1
2000-luku,0.5269588828086853,1
2007,0.16835607588291168,1
2010-luku,0.3506477475166321,1
2055 climate,0.26513248682022095,1
2D materials,0.20124372839927673,1
2nd and 3rd graders,0.22388358414173126,1
3D liikeanalysi,0.23077909648418427,1
3D printing,0.1334063857793808,0
3D sensor,0.21255677938461304,1
3D-sensori,0.32119429111480713,1
3D-tulostus,0.41371166706085205,1
3G,0.24019783735275269,1
3G-tekniikka,0.23407156765460968,1
3rd graders,0.136969193816185,0
4G,0.19245560467243195,1
4G-tekniikka,0.17288872599601746,1
5G,0.20990346372127533,1
7. ja 8. luokkalaiset,0.14837756752967834,1
8. ja 9. luokkalaiset,0.2620346248149872,1
9. -luokkalainen,0.23793117702007294,1
9‐luokkalaiset,0.2609831690788269,1
: Stakeholders,0.18466642498970032,1
: päänsärky,0.31624674797058105,1
A/B-testaus,0.14506234228610992,1
